name	team	birthday	age	club_name	club_country_code	caps	height	weight	position	matches	minutes	goals	assists	pa	pc	pc_perc	on_target	off_target	blocked	against_woodwork	fouls	suffered	yellow	red	longer_club_name	lat	lng	uefa_club_name	uefa_11_12	uefa_12_13	uefa_13_14	uefa_14_15	uefa_15_16	uefa_pts
Thiago Alcántara	Spain	11/04/1991	25	Bayern	GER	12	172	71	Midfield	2	None	None	None	None	None	None	0	0	0	0	None	None	None	None	FC Bayern München	48.1326687	11.499996453000449	FC Bayern München	33.050	36.585	29.942	31.171	31.171	31.171
Artur Boruc	Poland	20/02/1980	36	Bournemouth	ENG	63	193	88	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	AFC Bournemouth	50.72047697400046	-1.8794987789995616	None	None	None	None	None	None	None
Marouane Fellaini	Belgium	22/11/1987	28	Man. United	ENG	71	194	85	Midfield	2	None	None	None	None	None	None	0	1	0	0	5	1	1	0	Manchester United FC	53.4630484	-2.2951326	Manchester United FC	16.050	21.285	26.357	2.714	2.714	2.714
Steven Davis	Northern Ireland	01/01/1985	31	Southampton	ENG	86	172	72	Midfield	4	None	None	None	None	None	None	1	0	1	0	6	3	1	0	Southampton FC	50.909970039000484	-1.4042779489995496	Southampton FC	3.050	3.285	3.357	2.714	2.714	2.714
Toby Alderweireld	Belgium	02/03/1989	27	Tottenham	ENG	57	186	81	Defender	4	360	1	0	None	None	None	1	3	1	0	1	1	0	0	Tottenham Hotspur FC	51.603726097000504	-0.06783299999999999	Tottenham Hotspur FC	10.050	19.285	18.357	11.714	11.714	11.714
Denys Boyko	Ukraine	29/01/1988	28	Beşiktaş	TUR	4	194	82	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Beşiktaş JK	41.04540851900049	29.005740195000442	Beşiktaş JK	11.020	2.040	1.340	12.200	12.200	12.200
Sami Khedira	Germany	04/04/1987	29	Juventus	ITA	63	189	90	Midfield	4	None	None	None	None	None	None	4	2	3	0	3	2	1	0	Torino Juventus	45.1089928	7.638763099999998	Juventus	2.271	25.883	25.833	32.800	32.800	32.800
Martin Olsson	Sweden	17/05/1988	28	Norwich	ENG	36	170	81	Defender	3	None	None	None	None	None	None	0	0	1	0	1	3	1	0	Norwich City FC	52.62272549999999	1.2983397260004494	None	None	None	None	None	None	None
Thomas Vermaelen	Belgium	14/11/1985	30	Barcelona	ESP	55	183	80	Defender	4	None	None	None	None	None	None	0	0	0	0	8	5	2	0	FC Barcelona	41.3813544	2.1203177860004416	FC Barcelona	34.171	27.542	28.600	38.042	38.042	38.042
Aaron Hughes	Northern Ireland	08/11/1979	36	Melbourne City	AUS	102	183	78	Defender	3	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Melbourne City FC	-37.813999663999596	144.9642459	None	None	None	None	None	None	None
Cédric	Portugal	31/08/1991	24	Southampton	ENG	11	172	67	Defender	1	None	None	None	None	None	None	0	0	0	0	1	0	0	0	Southampton FC	50.909970039000484	-1.4042779489995496	Southampton FC	3.050	3.285	3.357	2.714	2.714	2.714
Roman Hubník	Czech Republic	06/06/1984	32	Plzeň	CZE	29	191	86	Defender	3	None	None	None	None	None	None	1	0	0	0	1	5	0	0	FC Viktoria Plzeň	49.750358561000496	13.3842745	FC Viktoria Plzeň	10.050	15.700	12.600	1.775	1.775	1.775
Glenn Whelan	Republic of Ireland	13/01/1984	32	Stoke	ENG	72	180	79	Midfield	2	None	None	None	None	None	None	0	0	1	0	1	1	1	0	Stoke City FC	53.004145827000514	-2.179404	Stoke City FC	11.050	3.285	3.357	2.714	2.714	2.714
Arda Turan	Turkey	30/01/1987	29	Barcelona	ESP	94	178	76	Midfield	3	None	None	None	None	None	None	0	3	1	0	1	5	0	0	FC Barcelona	41.3813544	2.1203177860004416	FC Barcelona	34.171	27.542	28.600	38.042	38.042	38.042
Dele Alli	England	11/04/1996	20	Tottenham	ENG	11	188	73	Midfield	4	None	None	None	None	None	None	0	7	5	0	3	6	0	0	Tottenham Hotspur FC	51.603726097000504	-0.06783299999999999	Tottenham Hotspur FC	10.050	19.285	18.357	11.714	11.714	11.714
Kornel Saláta	Slovakia	24/01/1985	31	Slovan Bratislava	SVK	37	191	89	Defender	1	None	None	None	None	None	None	0	0	0	0	None	None	None	None	ŠK Slovan Bratislava	48.1727265	17.141339352000443	ŠK Slovan Bratislava	2.475	0.800	1.325	2.550	2.550	2.550
Eliaquim Mangala	France	13/02/1991	25	Man. City	ENG	7	188	84	Defender	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Manchester City FC	53.4807593	-2.272817876999568	Manchester City FC	20.050	10.285	22.357	17.714	17.714	17.714
Niall McGinn	Northern Ireland	20/07/1987	28	Aberdeen	SCO	44	183	70	Forward	3	38	1	0	None	None	None	1	0	0	0	None	None	None	None	Aberdeen FC	57.159806062000484	-2.094278	Aberdeen FC	0.550	0.860	0.650	1.800	1.800	1.800
Héctor Bellerín	Spain	19/03/1995	21	Arsenal	ENG	3	177	74	Defender	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Arsenal FC	51.5540370060005	-0.105505	Arsenal FC	22.050	21.285	21.357	22.714	22.714	22.714
Ciaran Clark	Republic of Ireland	26/09/1989	26	Aston Villa	ENG	19	188	76	Defender	2	None	None	None	None	None	None	0	2	0	0	2	3	0	0	Aston Villa FC	52.52564092200049	-1.8397444219995691	None	None	None	None	None	None	None
Kevin De Bruyne	Belgium	28/06/1991	24	Man. City	ENG	43	181	68	Midfield	4	None	None	None	None	None	None	9	5	4	0	5	3	0	0	Manchester City FC	53.4807593	-2.272817876999568	Manchester City FC	20.050	10.285	22.357	17.714	17.714	17.714
Jonny Evans	Northern Ireland	03/01/1988	28	West Brom	ENG	52	188	77	Defender	4	None	None	None	None	None	None	0	0	1	0	5	7	1	0	West Bromwich Albion FC	52.5120994	-1.9796204759995817	None	None	None	None	None	None	None
Bogdan Stancu	Romania	28/06/1987	28	Gençlerbirliği	TUR	44	183	75	Forward	3	264	2	0	None	None	None	4	1	1	0	2	0	0	0	Gençlerbirliği SK	40.9983386	29.1886745	None	None	None	None	None	None	None
Benoît Costil	France	03/07/1987	28	Rennes	FRA	0	188	86	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Stade Rennais FC	48.11197744700047	-1.6742899889995897	Stade Rennais FC	5.100	2.350	1.700	2.183	2.183	2.183
Patrik Carlgren	Sweden	08/01/1992	24	AIK	SWE	0	188	84	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	AIK Solna	59.36887909999999	18.0084334	AIK Solna	0.580	4.025	0.640	1.780	1.780	1.780
Steve Mandanda	France	28/03/1985	31	Marseille	FRA	22	185	82	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Olympique de Marseille	43.29661725200049	5.381065934000446	Olympique de Marseille	21.100	6.350	5.700	2.183	2.183	2.183
Matúš Kozáčik	Slovakia	27/12/1983	32	Plzeň	CZE	20	193	88	Goalkeeper	4	None	None	None	None	None	None	0	0	0	0	None	None	None	None	FC Viktoria Plzeň	49.750358561000496	13.3842745	FC Viktoria Plzeň	10.050	15.700	12.600	1.775	1.775	1.775
André-Pierre Gignac	France	05/12/1985	30	Tigres	MEX	29	187	84	Forward	3	None	None	None	None	None	None	2	3	3	1	None	None	None	None	Tigres UANL	25.779912	-100.2818836	None	None	None	None	None	None	None
Elmar Bjarnason	Iceland	04/03/1987	29	AGF	DEN	28	183	78	Defender	3	None	None	None	None	None	None	0	0	0	0	4	1	0	0	AGF Aarhus	56.15302005800049	10.20486000200043	AGF Aarhus	0.620	1.160	0.760	0.580	0.580	0.580
Karol Linetty	Poland	02/02/1995	21	Lech	POL	10	176	74	Midfield	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	KKS Lech Poznań	52.4031363	16.8659869	KKS Lech Poznań	1.325	1.500	1.625	1.950	1.950	1.950
Zoltán Gera	Hungary	22/04/1979	37	Ferencváros	HUN	90	183	75	Forward	4	270	1	0	None	None	None	2	2	0	0	4	2	1	0	Ferencvárosi TC	47.48583551000047	19.0819885	Ferencvárosi TC	0.950	0.600	0.175	0.925	0.925	0.925
Etrit Berisha	Albania	10/03/1989	27	Lazio	ITA	37	194	92	Goalkeeper	3	None	None	None	None	None	None	0	0	0	0	None	None	None	None	SS Lazio	41.92843716100049	12.4851941	SS Lazio	9.271	20.883	12.833	3.800	3.800	3.800
Roman Shishkin	Russia	27/01/1987	29	Lokomotiv Moskva	RUS	11	176	73	Defender	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	FC Lokomotiv Moskva	55.800076	37.739931	FC Lokomotiv Moskva	11.950	1.950	2.083	3.433	3.433	3.433
Hannes Halldórsson	Iceland	27/04/1984	32	Bodø/Glimt	NOR	35	193	87	Goalkeeper	4	None	None	None	None	None	None	0	0	0	0	1	3	1	0	FK Bodø/Glimt	67.2803556	14.404916	None	None	None	None	None	None	None
Ivan Perišić	Croatia	02/02/1989	27	Internazionale	ITA	50	187	80	Midfield	4	387	2	1	None	None	None	4	8	4	2	6	2	1	0	FC Internazionale Milano	45.7924983	7.764657419000457	FC Internazionale Milano	20.271	16.883	2.833	15.800	15.800	15.800
Ledian Memushaj	Albania	17/12/1986	29	Pescara	ITA	15	175	71	Midfield	2	None	None	None	None	None	None	2	4	1	1	1	7	1	0	Delfino Pescara 1936	42.4617902	14.1435193	None	None	None	None	None	None	None
Oğuzhan Özyakup	Turkey	23/09/1992	23	Beşiktaş	TUR	23	180	75	Midfield	3	None	None	None	None	None	None	0	0	0	0	1	1	0	0	Beşiktaş JK	41.04540851900049	29.005740195000442	Beşiktaş JK	11.020	2.040	1.340	12.200	12.200	12.200
Tomáš Koubek	Czech Republic	26/08/1992	23	Liberec	CZE	2	198	95	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	FC Slovan Liberec	50.767106337000484	15.05618838400045	FC Slovan Liberec	1.050	3.200	9.600	1.775	1.775	1.775
James Collins	Wales	23/08/1983	32	West Ham	ENG	47	188	83	Defender	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	West Ham United FC	51.57045970000001	0.14751	West Ham United FC	3.050	3.285	3.357	2.714	2.714	2.714
Eliseu	Portugal	01/10/1983	32	Benfica	POR	16	180	75	Defender	1	None	None	None	None	None	None	0	0	0	0	None	None	None	None	SL Benfica	38.75205652700049	-9.18322816199958	SL Benfica	23.366	28.350	30.983	9.816	9.816	9.816
Marcus Rashford	England	31/10/1997	18	Man. United	ENG	2	180	70	Forward	2	None	None	None	None	None	None	0	0	0	0	1	0	0	0	Manchester United FC	53.4630484	-2.2951326	Manchester United FC	16.050	21.285	26.357	2.714	2.714	2.714
Blaise Matuidi	France	09/04/1987	29	Paris	FRA	47	175	70	Midfield	4	None	None	None	None	None	None	1	1	1	0	3	5	0	0	Paris Saint-Germain	48.853408154000476	2.3337563460004276	Paris Saint-Germain	9.100	27.350	26.700	23.183	23.183	23.183
Kamil Glik	Poland	03/02/1988	28	Torino	ITA	44	190	80	Defender	4	None	None	None	None	None	None	0	1	1	0	3	2	0	0	Torino FC	45.07048584300048	7.686856499999999	Torino FC	2.271	2.883	2.833	16.800	16.800	16.800
Marek Hamšík	Slovakia	27/07/1987	28	Napoli	ITA	90	183	79	Midfield	4	360	1	1	None	None	None	1	4	5	0	1	2	0	0	SSC Napoli	40.85405189999999	14.2681244	SSC Napoli	21.271	8.883	18.833	25.800	25.800	25.800
Daryl Murphy	Republic of Ireland	15/03/1983	33	Ipswich	ENG	20	191	88	Forward	2	None	None	None	None	None	None	2	0	1	0	4	1	0	0	Ipswich Town FC	52.059166682000466	1.1554459070004555	None	None	None	None	None	None	None
Seamus Coleman	Republic of Ireland	11/10/1988	27	Everton	ENG	36	177	67	Defender	4	None	None	None	None	None	None	0	0	1	0	6	3	1	0	Everton FC	53.4294901340005	-2.966368	Everton FC	3.050	3.285	3.357	16.714	16.714	16.714
Răzvan Raţ	Romania	26/05/1981	35	Rayo Vallecano	ESP	113	178	72	Defender	2	None	None	None	None	None	None	0	0	1	0	2	1	1	0	Rayo Vallecano de Madrid	40.37656987100047	-3.6115975759995536	None	None	None	None	None	None	None
Alessandro Florenzi	Italy	11/03/1991	25	Roma	ITA	18	173	67	Midfield	3	None	None	None	None	None	None	1	1	0	0	2	1	0	0	AS Roma	41.8971715	12.4728221	AS Roma	3.771	2.883	2.833	15.800	15.800	15.800
Ashley Williams	Wales	23/08/1984	31	Swansea	ENG	62	183	71	Defender	4	None	None	None	None	None	None	0	2	0	0	5	2	0	0	Swansea City AFC	51.62144	-3.9432271479995507	Swansea City AFC	3.050	3.285	10.357	2.714	2.714	2.714
Cristiano Ronaldo	Portugal	05/02/1985	31	Real Madrid	ESP	128	185	80	Forward	4	390	2	2	None	None	None	9	13	11	1	5	9	0	0	Real Madrid CF	40.42492708000049	-3.678367150999577	Real Madrid CF	36.171	29.542	39.600	33.042	33.042	33.042
Birkir Bjarnason	Iceland	27/05/1988	28	Basel	SUI	49	182	75	Midfield	4	360	1	0	None	None	None	1	1	0	0	7	4	1	0	FC Basel 1893	47.5595986	7.5885761	FC Basel 1893	20.200	17.675	20.440	16.380	16.380	16.380
David Pavelka	Czech Republic	18/05/1991	25	Kasımpaşa	TUR	10	185	74	Midfield	2	None	None	None	None	None	None	0	0	0	0	3	0	1	0	Kasımpaşa SK	41.03285	28.968241264000483	None	None	None	None	None	None	None
Corry Evans	Northern Ireland	30/07/1990	25	Blackburn	ENG	36	173	70	Midfield	3	None	None	None	None	None	None	0	0	1	0	6	3	0	0	Blackburn Rovers FC	53.7499996410005	-2.48332719599955	None	None	None	None	None	None	None
Jazz Richards	Wales	12/04/1991	25	Fulham	ENG	10	185	78	Defender	1	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Fulham FC	51.4754674670005	-0.2209317	Fulham FC	9.050	3.285	3.357	2.714	2.714	2.714
Aleksei Berezutski	Russia	20/06/1982	34	CSKA Moskva	RUS	56	190	87	Defender	1	None	None	None	None	None	None	0	0	0	0	None	None	None	None	PFC CSKA Moskva	57.44911719900051	37.6173	PFC CSKA Moskva	17.950	3.450	8.083	9.933	9.933	9.933
Eren Derdiyok	Switzerland	12/06/1988	28	Kasımpaşa	TUR	52	191	90	Forward	1	None	None	None	None	None	None	1	1	1	0	None	None	None	None	Kasımpaşa SK	41.03285	28.968241264000483	None	None	None	None	None	None	None
Silviu Lung	Romania	04/06/1989	27	Astra	ROU	3	189	78	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	FC Astra Giurgiu	45.63917800000001	25.6269792	FC Astra Giurgiu	0.866	1.360	2.875	4.025	4.025	4.025
Gordon Schildenfeld	Croatia	18/03/1985	31	Dinamo Zagreb	CRO	29	191	89	Defender	2	None	None	None	None	None	None	0	0	0	0	None	None	None	None	GNK Dinamo Zagreb	45.82139720800046	16.047697900000458	GNK Dinamo Zagreb	4.750	5.875	2.875	5.375	5.375	5.375
Daniel Kolář	Czech Republic	27/10/1985	30	Plzeň	CZE	29	180	77	Midfield	1	None	None	None	None	None	None	0	0	0	0	None	None	None	None	FC Viktoria Plzeň	49.750358561000496	13.3842745	FC Viktoria Plzeň	10.050	15.700	12.600	1.775	1.775	1.775
Gianluigi Buffon	Italy	28/01/1978	38	Juventus	ITA	158	192	91	Goalkeeper	3	None	None	None	None	None	None	0	0	0	0	0	0	1	0	Torino Juventus	45.1089928	7.638763099999998	Juventus	2.271	25.883	25.833	32.800	32.800	32.800
Danny Ward	Wales	22/06/1993	23	Liverpool	ENG	3	191	88	Goalkeeper	1	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Liverpool FC	53.41057676100047	-2.9779368059995477	Liverpool FC	3.050	12.285	3.357	12.714	12.714	12.714
Petr Čech	Czech Republic	20/05/1982	34	Arsenal	ENG	124	196	90	Goalkeeper	3	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Arsenal FC	51.5540370060005	-0.105505	Arsenal FC	22.050	21.285	21.357	22.714	22.714	22.714
Gabriel Torje	Romania	22/11/1989	26	Osmanlıspor	TUR	54	168	71	Midfield	3	None	None	None	None	None	None	1	1	2	0	2	2	1	0	Osmanlıspor	41.0143	28.62652	None	None	None	None	None	None	None
Fabian Frei	Switzerland	08/01/1989	27	Mainz	GER	9	182	77	Midfield	1	None	None	None	None	None	None	0	0	1	0	1	1	0	0	1. FSV Mainz 05	49.9935994	8.2472526	1. FSV Mainz 05	4.050	3.585	2.942	4.171	4.171	4.171
Renato Sanches	Portugal	18/08/1997	18	Benfica	POR	6	176	70	Midfield	3	None	None	None	None	None	None	0	1	0	0	7	3	0	0	SL Benfica	38.75205652700049	-9.18322816199958	SL Benfica	23.366	28.350	30.983	9.816	9.816	9.816
Patrice Evra	France	15/05/1981	35	Juventus	ITA	76	174	74	Defender	4	None	None	None	None	None	None	0	0	0	0	6	3	0	0	Torino Juventus	45.1089928	7.638763099999998	Juventus	2.271	25.883	25.833	32.800	32.800	32.800
Jaroslav Plašil	Czech Republic	05/01/1982	34	Bordeaux	FRA	103	182	72	Midfield	3	None	None	None	None	None	None	1	1	0	0	4	4	1	0	FC Girondins de Bordeaux	44.84043925700047	-0.57918	FC Girondins de Bordeaux	2.100	14.350	3.700	2.183	2.183	2.183
Ján Greguš	Slovakia	29/01/1991	25	Jablonec	CZE	7	189	70	Midfield	1	None	None	None	None	None	None	0	1	0	0	None	None	None	None	FK Jablonec	50.71597737400049	15.1632592	FK Jablonec	2.050	1.700	3.100	0.775	0.775	0.775
Lucas Vázquez	Spain	01/07/1991	24	Real Madrid	ESP	1	173	70	Forward	1	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Real Madrid CF	40.42492708000049	-3.678367150999577	Real Madrid CF	36.171	29.542	39.600	33.042	33.042	33.042
Krisztián Németh	Hungary	05/01/1989	27	Al-Gharafa	QAT	24	180	74	Forward	2	None	None	None	None	None	None	1	0	0	0	2	1	1	0	Al-Gharafa Sports Club	25.3325814	51.44670929999999	None	None	None	None	None	None	None
Stephan Lichtsteiner	Switzerland	16/01/1984	32	Juventus	ITA	84	182	75	Defender	4	None	None	None	None	None	None	1	0	1	0	2	7	0	0	Torino Juventus	45.1089928	7.638763099999998	Juventus	2.271	25.883	25.833	32.800	32.800	32.800
Ben Davies	Wales	24/04/1993	23	Tottenham	ENG	23	181	76	Defender	4	None	None	None	None	None	None	0	0	0	0	2	4	1	0	Tottenham Hotspur FC	51.603726097000504	-0.06783299999999999	Tottenham Hotspur FC	10.050	19.285	18.357	11.714	11.714	11.714
Erik Johansson	Sweden	30/12/1988	27	København	DEN	10	191	84	Defender	3	None	None	None	None	None	None	0	0	0	0	4	3	1	0	FC København	55.6760968	12.5683371	FC København	4.620	6.660	7.760	3.580	3.580	3.580
Roman Neustädter	Russia	18/02/1988	28	Schalke	GER	5	190	83	Defender	2	None	None	None	None	None	None	0	0	0	0	2	0	0	0	FC Schalke 04	51.559463	7.0622516	FC Schalke 04	20.050	22.585	18.942	20.171	20.171	20.171
Norbert Gyömber	Slovakia	03/07/1992	23	Roma	ITA	14	189	74	Defender	2	None	None	None	None	None	None	0	0	0	0	1	1	0	0	AS Roma	41.8971715	12.4728221	AS Roma	3.771	2.883	2.833	15.800	15.800	15.800
Rafa Silva	Portugal	17/05/1993	23	Braga	POR	9	170	63	Midfield	1	None	None	None	None	None	None	0	0	0	0	None	None	None	None	SC Braga	41.55160991500048	-8.426506999999999	SC Braga	12.366	8.350	3.483	1.816	1.816	1.816
Tomasz Jodłowiec	Poland	08/09/1985	30	Legia	POL	46	189	91	Midfield	4	None	None	None	None	None	None	1	0	1	0	1	0	0	0	Legia Warszawa	52.22154827300051	21.0424143	Legia Warszawa	8.325	2.000	2.625	10.950	10.950	10.950
François Moubandje	Switzerland	21/06/1990	26	Toulouse	FRA	11	180	74	Defender	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Toulouse FC	43.604652	1.444209	None	None	None	None	None	None	None
James Milner	England	04/01/1986	30	Liverpool	ENG	61	175	70	Midfield	1	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Liverpool FC	53.41057676100047	-2.9779368059995477	Liverpool FC	3.050	12.285	3.357	12.714	12.714	12.714
Barnabás Bese	Hungary	06/05/1994	22	MTK	HUN	1	188	84	Defender	1	None	None	None	None	None	None	0	0	0	0	1	0	0	0	MTK Budapest	47.5068059	19.092078248000462	MTK Budapest	0.450	0.850	0.175	0.425	0.425	0.425
Jonas Hector	Germany	27/05/1990	26	Köln	GER	17	185	75	Defender	4	None	None	None	None	None	None	0	3	0	0	3	5	0	0	1. FC Köln	50.93332608700047	6.876264700000001	None	None	None	None	None	None	None
Robert Almer	Austria	20/03/1984	32	Austria Wien	AUT	30	194	88	Goalkeeper	3	None	None	None	None	None	None	0	0	0	0	None	None	None	None	FK Austria Wien	48.21043771000046	16.37766711900042	FK Austria Wien	7.425	0.450	9.560	0.825	0.825	0.825
Jakub Wawrzyniak	Poland	07/07/1983	32	Lechia	POL	46	188	85	Defender	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Lechia Gdańsk	54.3904704	18.6371333	None	None	None	None	None	None	None
Cristian Săpunaru	Romania	05/04/1984	32	Pandurii	ROU	16	187	81	Defender	3	None	None	None	None	None	None	0	2	0	1	4	4	1	0	CS Pandurii Târgu Jiu	44.6698463	24.844529	CS Pandurii Târgu Jiu	0.866	1.360	3.375	1.025	1.025	1.025
Alessandro Schöpf	Austria	07/02/1994	22	Schalke	GER	6	178	75	Midfield	3	83	1	0	None	None	None	3	1	1	0	3	2	1	0	FC Schalke 04	51.559463	7.0622516	FC Schalke 04	20.050	22.585	18.942	20.171	20.171	20.171
Yannick Carrasco	Belgium	04/09/1993	22	Atlético	ESP	6	180	67	Midfield	4	169	1	0	None	None	None	1	0	0	0	1	0	0	0	Club Atlético de Madrid	40.4206094	-3.721263	Club Atlético de Madrid	34.171	13.542	37.600	26.042	26.042	26.042
Thiago Motta	Italy	28/08/1982	33	Paris	FRA	28	183	82	Midfield	4	None	None	None	None	None	None	0	0	0	0	5	1	2	0	Paris Saint-Germain	48.853408154000476	2.3337563460004276	Paris Saint-Germain	9.100	27.350	26.700	23.183	23.183	23.183
Xherdan Shaqiri	Switzerland	10/10/1991	24	Stoke	ENG	56	169	72	Midfield	4	377	1	1	None	None	None	4	3	3	0	9	2	0	0	Stoke City FC	53.004145827000514	-2.179404	Stoke City FC	11.050	3.285	3.357	2.714	2.714	2.714
Owain Fôn Williams	Wales	17/03/1987	29	Inverness	SCO	1	193	77	Goalkeeper	0	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Inverness Caledonian Thistle FC	57.48100556000048	-4.224721	Inverness Caledonian Thistle FC	0.550	0.860	0.650	0.800	0.800	0.800
Kevin Wimmer	Austria	15/11/1992	23	Tottenham	ENG	4	187	85	Defender	1	None	None	None	None	None	None	0	0	0	0	None	None	None	None	Tottenham Hotspur FC	51.603726097000504	-0.06783299999999999	Tottenham Hotspur FC	10.050	19.285	18.357	11.714	11.714	11.714
Sebastian Larsson	Sweden	06/06/1985	31	Sunderland	ENG	86	178	70	Midfield	3	None	None	None	None	None	None	0	1	0	0	6	0	0	0	Sunderland AFC	54.913871593000465	-1.3857190399995716	None	None	None	None	None	None	None
Cesc Fàbregas	Spain	04/05/1987	29	Chelsea	ENG	109	175	74	Midfield	4	None	None	None	None	None	None	0	1	1	0	6	3	0	0	Chelsea FC	51.480877998000494	-0.18943975099955424	Chelsea FC	33.050	30.285	28.357	23.714	23.714	23.714
Daniele De Rossi	Italy	24/07/1983	32	Roma	ITA	105	184	83	Midfield	3	None	None	None	None	None	None	0	0	0	0	4	5	1	0	AS Roma	41.8971715	12.4728221	AS Roma	3.771	2.883	2.833	15.800	15.800	15.800
Danijel Subašić	Croatia	27/10/1984	31	Monaco	FRA	24	191	87	Goalkeeper	4	None	None	None	None	None	None	0	0	0	0	None	None	None	None	AS Monaco FC	43.73741099999999	7.420815999999999	AS Monaco FC	2.100	2.350	1.700	23.183	23.183	23.183
Jordan Henderson	England	17/06/1990	26	Liverpool	ENG	27	182	67	Midfield	1	None	None	None	None	None	None	0	0	2	0	1	0	0	0	Liverpool FC	53.41057676100047	-2.9779368059995477	Liverpool FC	3.050	12.285	3.357	12.714	12.714	12.714
Aron Gunnarsson	Iceland	22/04/1989	27	Cardiff	WAL	61	178	70	Midfield	4	None	None	None	None	None	None	1	0	0	0	12	7	1	0	Cardiff City FC	51.479996076000475	-3.17909	None	None	None	None	None	None	None
Rubin Okotie	Austria	06/06/1987	29	1860 München	GER	18	188	86	Forward	1	None	None	None	None	None	None	0	0	0	0	None	None	None	None	TSV 1860 Munich	48.136410097000464	11.5836489	None	None	None	None	None	None	None
Marcus Berg	Sweden	17/08/1986	29	Panathinaikos	GRE	39	184	75	Forward	3	None	None	None	None	None	None	1	1	0	0	5	4	0	0	Panathinaikos FC	38.01197570000045	23.691385615000456	Panathinaikos FC	3.020	4.880	1.220	3.240	3.240	3.240
Jakub Błaszczykowski	Poland	14/12/1985	30	Fiorentina	ITA	82	176	77	Midfield	4	325	2	1	None	None	None	3	1	2	0	4	5	0	0	ACF Fiorentina	42.96402994300047	10.536040042000423	ACF Fiorentina	2.271	2.883	17.833	23.800	23.800	23.800
Lorenzo Insigne	Italy	04/06/1991	25	Napoli	ITA	9	163	59	Forward	2	None	None	None	None	None	None	1	1	0	1	1	0	1	0	SSC Napoli	40.85405189999999	14.2681244	SSC Napoli	21.271	8.883	18.833	25.800	25.800	25.800
Manuel Neuer	Germany	27/03/1986	30	Bayern	GER	68	193	92	Goalkeeper	4	None	None	None	None	None	None	0	0	0	0	None	None	None	None	FC Bayern München	48.1326687	11.499996453000449	FC Bayern München	33.050	36.585	29.942	31.171	31.171	31.171
Johann Gudmundsson	Iceland	27/10/1990	25	Charlton	ENG	49	178	72	Forward	4	None	None	None	None	None	None	1	1	0	1	3	1	1	0	Charlton Athletic FC	51.48729900000001	0.0348582	None	None	None	None	None	None	None
Vedran Ćorluka	Croatia	05/02/1986	30	Lokomotiv Moskva	RUS	90	192	84	Defender	4	None	None	None	None	None	None	0	0	0	0	None	None	None	None	FC Lokomotiv Moskva	55.800076	37.739931	FC Lokomotiv Moskva	11.950	1.950	2.083	3.433	3.433	3.433
Ergys Kaçe	Albania	08/07/1993	22	PAOK	GRE	17	170	62	Midfield	1	None	None	None	None	None	None	0	0	1	0	1	2	1	0	PAOK Thessaloniki	40.6400629	22.98016972700043	PAOK FC	11.520	2.380	10.220	6.240	6.240	6.240
Jimmy Durmaz	Sweden	22/03/1989	27	Olympiacos	GRE	31	180	69	Midfield	2	None	None	None	None	None	None	0	1	0	0	None	None	None	None	Olympiacos FC	39.383427000000495	23.3274646	Olympiacos FC	17.520	10.880	19.220	12.240	12.240	12.240
Serhiy Sydorchuk	Ukraine	02/05/1991	25	Dynamo Kyiv	UKR	14	189	90	Midfield	2	None	None	None	None	None	None	0	1	1	0	3	1	1	0	FC Dynamo Kyiv	50.32	30.564428	FC Dynamo Kyiv	7.550	10.900	9.566	18.000	18.000	18.000
Caner Erkin	Turkey	04/10/1988	27	Fenerbahçe	TUR	49	181	76	Defender	2	None	None	None	None	None	None	1	0	0	0	1	1	0	0	Fenerbahçe SK	40.97428620000001	29.0430833	Fenerbahçe SK	1.020	24.040	1.340	1.200	1.200	1.200
Aleksandr Samedov	Russia	19/07/1984	31	Lokomotiv Moskva	RUS	30	177	75	Midfield	1	None	None	None	None	None	None	0	0	0	0	None	None	None	None	FC Lokomotiv Moskva	55.800076	37.739931	FC Lokomotiv Moskva	11.950	1.950	2.083	3.433	3.433	3.433
