team,name,birthday,age,club,euro16_games,euro16_goals
Slovakia,Peter Pekarík (2),30/10/1986,29,Hertha,3,-
Slovakia,Kornel Saláta (16),24/01/1985,31,Slovan Bratislava,-,-
Slovakia,Milan Škriniar (14),11/02/1995,21,Sampdoria,1,-
Slovakia,Martin Škrtel (3),15/12/1984,31,Liverpool,3,-
Slovakia,Dušan Švento (18),01/08/1985,30,Köln,3,-
Slovakia,Ondrej Duda (8),05/12/1994,21,Legia,3,1
Slovakia,Ján Greguš (6),29/01/1991,25,Jablonec,-,-
Slovakia,Marek Hamšík (17),27/07/1987,28,Napoli,3,1
Slovakia,Patrik Hrošovský (13),22/04/1992,24,Plzeň,1,-
Slovakia,Juraj Kucka (19),26/02/1987,29,Milan,3,-
Slovakia,Róbert Mak (20),08/03/1991,25,PAOK,3,-
Slovakia,Viktor Pečovský (22),24/05/1983,33,Žilina,2,-
Slovakia,Miroslav Stoch (10),19/10/1989,26,Bursaspor,1,-
Slovakia,Vladimír Weiss (7),30/11/1989,26,Al-Gharafa,3,1
Slovakia,Michal Ďuriš (21),01/06/1988,28,Plzeň,2,-
Slovakia,Adam Nemec (11),02/09/1985,30,Willem II,2,-
Slovakia,Stanislav Šesták (9),16/12/1982,33,Ferencváros,-,-
Spain,Iker Casillas (1),20/05/1981,35,Porto,-,-
Spain,David  de Gea (13),07/11/1990,25,Man. United,3,2
Spain,Sergio Rico (23),01/09/1993,22,Sevilla,-,-
Spain,César Azpilicueta (2),28/08/1989,26,Chelsea,1,-
Spain,Marc Bartra (4),15/01/1991,25,Barcelona,-,-
Spain,Héctor Bellerín (12),19/03/1995,21,Arsenal,-,-
Spain,Jordi Alba (18),21/03/1989,27,Barcelona,3,-
Spain,Juanfran (16),09/01/1985,31,Atlético,3,-
Spain,Gerard Piqué (3),02/02/1987,29,Barcelona,3,1
Spain,Sergio Ramos (15),30/03/1986,30,Real Madrid,3,-
Spain,Mikel San José (17),30/05/1989,27,Athletic,-,-
Spain,Bruno Soriano (19),12/06/1984,32,Villarreal,2,-
Spain,Sergio Busquets (5),16/07/1988,27,Barcelona,3,-
Spain,Cesc Fàbregas (10),04/05/1987,29,Chelsea,3,-
Spain,Andrés  Iniesta (6),11/05/1984,32,Barcelona,3,-
Spain,Koke (8),08/01/1992,24,Atlético,1,-
Spain,David  Silva (21),08/01/1986,30,Man. City,3,-
Spain,Thiago Alcántara (14),11/04/1991,25,Bayern,2,-
Spain,Aritz Aduriz (20),11/02/1981,35,Athletic,2,-
Spain,Lucas Vázquez (9),01/07/1991,24,Real Madrid,-,-
Spain,Álvaro Morata (7),23/10/1992,23,Juventus,3,3
Spain,Nolito (22),15/10/1986,29,Celta,3,1
Spain,Pedro Rodríguez (11),28/07/1987,28,Chelsea,1,-
Sweden,Patrik Carlgren (23),08/01/1992,24,AIK,-,-
Sweden,Andreas Isaksson (1),03/10/1981,34,Kasımpaşa,2,2
Sweden,Robin Olsen (12),08/01/1990,26,København,-,-
Sweden,Ludwig Augustinsson (17),21/04/1994,22,København,-,-
Sweden,Andreas Granqvist (4),16/04/1985,31,Krasnodar,2,-
Sweden,Pontus Jansson (13),13/02/1991,25,Torino,-,-
Sweden,Erik Johansson (3),30/12/1988,27,København,2,-
Sweden,Victor Lindelöf (14),17/07/1994,21,Benfica,2,-
Sweden,Mikael Lustig (2),13/12/1986,29,Celtic,1,-
Sweden,Martin Olsson (5),17/05/1988,28,Norwich,2,-
Sweden,Jimmy Durmaz (21),22/03/1989,27,Olympiacos,1,-
Sweden,Albin Ekdal (8),28/07/1989,26,Hamburg,2,-
Sweden,Erkan Zengin (22),05/08/1985,30,Trabzonspor,-,-
Sweden,Emil Forsberg (6),23/10/1991,24,Leipzig,2,-
Sweden,Oscar Hiljemark (15),28/06/1992,23,Palermo,-,-
Sweden,Kim Källström (9),24/08/1982,33,Grasshoppers,2,-
Sweden,Sebastian Larsson (7),06/06/1985,31,Sunderland,2,-
Sweden,Oscar Lewicki (18),14/07/1992,23,Malmö,2,-
Sweden,Pontus Wernbloom (16),25/06/1986,29,CSKA Moskva,-,-
Sweden,Marcus Berg (11),17/08/1986,29,Panathinaikos,2,-
Sweden,John Guidetti (20),15/04/1992,24,Celta,2,-
Sweden,Zlatan Ibrahimović (10),03/10/1981,34,Paris,2,-
Sweden,Emir Kujovic (19),22/06/1988,28,Norrköping,-,-
Switzerland,Roman Bürki (21),14/11/1990,25,Dortmund,-,-
Switzerland,Marwin Hitz (12),18/09/1987,28,Augsburg,-,-
Switzerland,Yann Sommer (1),17/12/1988,27,Mönchengladbach,3,1
Switzerland,Johan Djourou (20),18/01/1987,29,Hamburg,3,-
Switzerland,Nico Elvedi (4),30/09/1996,19,Mönchengladbach,-,-
Switzerland,Michael Lang (6),08/02/1991,25,Basel,2,-
Switzerland,Stephan Lichtsteiner (2),16/01/1984,32,Juventus,3,-
Switzerland,François Moubandje (3),21/06/1990,26,Toulouse,-,-
Switzerland,Ricardo Rodríguez (13),25/08/1992,23,Wolfsburg,3,-
Switzerland,Fabian Schär (22),20/12/1991,24,Hoffenheim,3,1
Switzerland,Steve von Bergen (5),10/06/1983,33,Young Boys,-,-
Switzerland,Valon Behrami (11),19/04/1985,31,Watford,3,-
Switzerland,Blerim Džemaili (15),12/04/1986,30,Genoa,3,-
Switzerland,Gelson Fernandes (16),02/09/1986,29,Rennes,2,-
Switzerland,Fabian Frei (8),08/01/1989,27,Mainz,1,-
Switzerland,Xherdan Shaqiri (23),10/10/1991,24,Stoke,3,-
Switzerland,Granit Xhaka (10),27/09/1992,23,Mönchengladbach,3,-
Switzerland,Denis Zakaria (14),20/11/1996,19,Young Boys,-,-
Switzerland,Eren Derdiyok (19),12/06/1988,28,Kasımpaşa,-,-
Switzerland,Breel Embolo (7),14/02/1997,19,Basel,3,-
Switzerland,Admir Mehmedi (18),16/03/1991,25,Leverkusen,3,1
Switzerland,Haris Seferović (9),22/02/1992,24,Frankfurt,3,-
Switzerland,Shani Tarashaj (17),07/02/1995,21,Grasshoppers,1,-
Turkey,Harun Tekin (23),17/06/1989,27,Bursaspor,-,-
Turkey,Onur Kıvrak (12),01/01/1988,28,Trabzonspor,-,-
Turkey,Volkan Babacan (1),11/08/1988,27,İstanbul Başakşehir,3,4
Turkey,Ahmet Çalık (4),26/02/1994,22,Gençlerbirliği,-,-
Turkey,Caner Erkin (18),04/10/1988,27,Fenerbahçe,2,-
Turkey,Gökhan Gönül (7),04/01/1985,31,Fenerbahçe,3,-
Turkey,Hakan Balta (3),23/03/1983,33,Galatasaray,3,-
Turkey,İsmail Köybaşı (13),10/07/1989,26,Beşiktaş,1,-
Turkey,Semih Kaya (2),24/02/1991,25,Galatasaray,-,-
Turkey,Şener Özbayraklı (22),23/01/1990,26,Fenerbahçe,-,-
Turkey,Arda Turan (10),30/01/1987,29,Barcelona,3,-
Turkey,Hakan Çalhanoğlu (6),08/02/1994,22,Leverkusen,2,-
Turkey,Mehmet Topal (15),03/03/1986,30,Fenerbahçe,3,-
Turkey,Nuri Şahin (5),05/09/1988,27,Dortmund,1,-
Turkey,Oğuzhan Özyakup (14),23/09/1992,23,Beşiktaş,3,-
Turkey,Olcay Şahan (11),26/05/1987,29,Beşiktaş,2,-
Turkey,Ozan Tufan (16),23/03/1995,21,Fenerbahçe,3,1
Turkey,Selçuk İnan (8),10/02/1985,31,Galatasaray,3,-
Turkey,Volkan Şen (20),07/07/1987,28,Fenerbahçe,2,-
Turkey,Yunus Mallı (19),24/02/1992,24,Mainz,1,-
Turkey,Burak Yılmaz (17),15/07/1985,30,Beijing Guoan,3,1
Turkey,Cenk Tosun (9),07/06/1991,25,Beşiktaş,2,-
Turkey,Emre Mor (21),24/07/1997,18,Nordsjælland,2,-
Ukraine,Denys Boyko (1),29/01/1988,28,Beşiktaş,-,-
Ukraine,Andriy Pyatov (12),28/06/1984,31,Shakhtar Donetsk,3,5
Ukraine,Mykyta Shevchenko (23),26/01/1993,23,Zorya,-,-
Ukraine,Bohdan Butko (2),13/01/1991,25,Amkar,1,-
Ukraine,Artem Fedetskiy (17),26/04/1985,31,Dnipro,3,-
Ukraine,Yevhen Khacheridi (3),28/07/1987,28,Dynamo Kyiv,3,-
Ukraine,Olexandr Kucher (5),22/10/1982,33,Shakhtar Donetsk,1,-
Ukraine,Yaroslav Rakitskiy (20),03/08/1989,26,Shakhtar Donetsk,2,-
Ukraine,Vyacheslav Shevchuk (13),13/05/1979,37,Shakhtar Donetsk,2,-
Ukraine,Denys Garmash (19),19/04/1990,26,Dynamo Kyiv,1,-
Ukraine,Olexandr Karavaev (22),02/06/1992,24,Zorya,-,-
Ukraine,Yevhen Konoplyanka (10),29/09/1989,26,Sevilla,3,-
Ukraine,Viktor Kovalenko (9),14/02/1996,20,Shakhtar Donetsk,3,-
Ukraine,Ruslan Rotan (14),29/10/1981,34,Dnipro,1,-
Ukraine,Serhiy Rybalka (18),01/04/1990,26,Dynamo Kyiv,-,-
Ukraine,Taras Stepanenko (6),08/08/1989,26,Shakhtar Donetsk,3,-
Ukraine,Serhiy Sydorchuk (16),02/05/1991,25,Dynamo Kyiv,2,-
Ukraine,Anatoliy Tymoshchuk (4),30/03/1979,37,Kairat,1,-
Ukraine,Andriy Yarmolenko (7),23/10/1989,26,Dynamo Kyiv,3,-
Ukraine,Olexandr Zinchenko (21),15/12/1996,19,Ufa,3,-
Ukraine,Pylyp Budkivskiy (15),10/03/1992,24,Zorya,-,-
Ukraine,Yevhen Seleznyov (11),20/07/1985,30,Shakhtar Donetsk,2,-
Ukraine,Roman Zozulya (8),17/11/1989,26,Dnipro,3,-
Wales,Owain Fôn Williams (12),17/03/1987,29,Inverness,-,-
Wales,Wayne Hennessey (1),24/01/1987,29,Crystal Palace,2,2
Wales,Danny Ward (21),22/06/1993,23,Liverpool,1,1
Wales,James  Chester (5),23/01/1989,27,West Brom,3,-
Wales,James Collins (19),23/08/1983,32,West Ham,-,-
Wales,Ben Davies (4),24/04/1993,23,Tottenham,3,-
Wales,Chris Gunter (2),21/07/1989,26,Reading,3,-
Wales,Jazz Richards (15),12/04/1991,25,Fulham,1,-
Wales,Neil Taylor (3),07/02/1989,27,Swansea,3,1
Wales,Ashley Williams (6),23/08/1984,31,Swansea,3,-
Wales,Joe Allen (7),14/03/1990,26,Liverpool,3,-
Wales,David Edwards (14),03/02/1986,30,Wolves,3,-
Wales,Andy King (8),29/10/1988,27,Leicester,1,-
Wales,Joe Ledley (16),23/01/1987,29,Crystal Palace,3,-
Wales,Aaron Ramsey (10),26/12/1990,25,Arsenal,3,1
Wales,David Vaughan (22),18/02/1983,33,Nottm Forest,-,-
Wales,Jonathan Williams (20),09/10/1993,22,Crystal Palace,2,-
Wales,Gareth Bale (11),16/07/1989,26,Real Madrid,3,3
Wales,Simon Church (23),10/12/1988,27,MK Dons,1,-
Wales,David Cotterill (17),04/12/1987,28,Birmingham,-,-
Wales,Hal Robson-Kanu (9),21/05/1989,27,Reading,2,1
Wales,Sam Vokes (18),21/10/1989,26,Burnley,1,-
Wales,George Williams (13),07/09/1995,20,Fulham,-,-
